distinct_id,reg_date,first_pay_time,last_month_total_pay,killer_game_num,killer_game_duration,killer_with_friend_num,friend_num,dia_amount,killer_diamond,gift_amount
142711328,2020-08-27 20:55:12,2020-09-16 12:14:03.708,3238,60,350.043,40,112,32362,10,7945
97369753,2017-11-09 22:14:00,2018-01-04 18:23:08.916,7096,42,130.058,1,68,70960,,33409
122221303,2020-05-28 19:14:05,2020-06-23 18:08:42.36,7053,47,152.087,47,59,71073,1708,28399
100716190,2020-03-06 23:16:42,2020-04-05 10:52:09.763,4850,445,3294.968,246,60,48519,80,454
32525617,2016-12-28 23:13:00,2017-11-26 22:43:54.518,3014,12,93.028,12,40,30087,,22872
94584271,,2020-01-13 07:16:11.154,9721,35,187.144,19,151,96675,110,35441
51121477,2018-01-26 21:49:37,2020-03-16 14:18:57.95,1159,29,209.068,9,29,11590,,365
58689640,2018-01-26 17:11:02,2018-01-28 09:11:25.121,1577,200,1118.465,173,57,15824,,55
139332161,2020-05-12 21:11:47,2020-07-04 12:14:16.99,4666,30,103.001,,26,46660,,22925
24330835,2017-04-07 13:48:00,2017-04-25 01:53:34.456,11997,352,2186.906,75,16,120010,180,191
75407968,2019-11-17 22:55:37,2019-12-01 17:47:00.406,2834,42,157.363,,31,28304,,49
