1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.369,0.245,0.184,0.136,0.118,0.102,0.088,0.085,0.085,0.075,0.064,0.064,0.064,0.063,0.06,0.061,0.059,0.055,0.053,0.052,0.05,0.05,0.05,0.049,0.05,0.02,,,,
0.389,0.244,0.148,0.126,0.109,0.093,0.103,0.108,0.093,0.072,0.071,0.071,0.069,0.072,0.074,0.071,0.063,0.06,0.06,0.06,0.06,0.059,0.059,0.057,0.022,,,,,
0.376,0.155,0.123,0.106,0.087,0.102,0.135,0.105,0.063,0.062,0.063,0.066,0.068,0.078,0.071,0.061,0.058,0.059,0.057,0.056,0.057,0.058,0.058,0.02,,,,,,
0.276,0.186,0.147,0.114,0.126,0.154,0.132,0.072,0.069,0.07,0.069,0.07,0.078,0.075,0.063,0.061,0.062,0.059,0.058,0.06,0.061,0.06,0.022,,,,,,,
0.393,0.26,0.188,0.159,0.14,0.122,0.101,0.089,0.085,0.081,0.074,0.069,0.067,0.064,0.059,0.059,0.057,0.055,0.053,0.054,0.055,0.021,,,,,,,,
0.393,0.245,0.192,0.165,0.139,0.115,0.101,0.091,0.087,0.079,0.074,0.071,0.067,0.066,0.064,0.061,0.057,0.058,0.057,0.058,0.022,,,,,,,,,
0.386,0.248,0.196,0.158,0.127,0.11,0.098,0.093,0.083,0.076,0.075,0.07,0.066,0.063,0.06,0.058,0.058,0.058,0.057,0.022,,,,,,,,,,
0.389,0.254,0.194,0.151,0.129,0.114,0.101,0.09,0.086,0.081,0.073,0.069,0.066,0.064,0.06,0.06,0.06,0.061,0.021,,,,,,,,,,,
0.407,0.261,0.179,0.148,0.129,0.116,0.105,0.098,0.09,0.081,0.073,0.073,0.069,0.065,0.062,0.063,0.064,0.023,,,,,,,,,,,,
0.399,0.192,0.153,0.134,0.121,0.117,0.122,0.102,0.081,0.075,0.074,0.07,0.066,0.068,0.067,0.065,0.024,,,,,,,,,,,,,
0.314,0.218,0.175,0.149,0.136,0.136,0.118,0.088,0.081,0.078,0.073,0.069,0.068,0.068,0.068,0.024,,,,,,,,,,,,,,
0.407,0.27,0.208,0.164,0.138,0.118,0.103,0.09,0.083,0.074,0.069,0.067,0.068,0.068,0.024,,,,,,,,,,,,,,,
0.403,0.27,0.198,0.162,0.134,0.119,0.102,0.092,0.083,0.075,0.073,0.071,0.069,0.024,,,,,,,,,,,,,,,,
0.402,0.252,0.19,0.152,0.13,0.11,0.099,0.088,0.077,0.073,0.07,0.069,0.023,,,,,,,,,,,,,,,,,
0.391,0.257,0.192,0.156,0.131,0.112,0.098,0.085,0.079,0.076,0.076,0.026,,,,,,,,,,,,,,,,,,
0.4,0.259,0.194,0.151,0.128,0.11,0.093,0.087,0.082,0.08,0.027,,,,,,,,,,,,,,,,,,,
0.397,0.237,0.177,0.148,0.124,0.106,0.099,0.09,0.082,0.028,,,,,,,,,,,,,,,,,,,,
0.368,0.238,0.188,0.147,0.124,0.111,0.101,0.093,0.03,,,,,,,,,,,,,,,,,,,,,
0.396,0.263,0.194,0.15,0.128,0.113,0.104,0.033,,,,,,,,,,,,,,,,,,,,,,
0.406,0.259,0.188,0.152,0.13,0.118,0.038,,,,,,,,,,,,,,,,,,,,,,,
0.394,0.25,0.193,0.158,0.136,0.046,,,,,,,,,,,,,,,,,,,,,,,,
0.397,0.261,0.2,0.164,0.051,,,,,,,,,,,,,,,,,,,,,,,,,
0.396,0.265,0.204,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,
0.406,0.264,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.414,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
